Estado,Lat,Long,Fecha,Casos
COLIMA,19.2499695,-103.7271423,03/04/2020,1
DURANGO,25.5698509,-103.4958801,03/04/2020,0
GUANAJUATO,21.0185795,-101.2591019,03/04/2020,1
GUERRERO,16.8494205,-99.9089127,03/04/2020,1
HIDALGO,20.1169701,-98.7332916,03/04/2020,34
JALISCO,20.6668205,-103.3918228,03/04/2020,3
MÉXICO,19.2878609,-99.6532364,03/04/2020,5
MICHOACÁN,19.7007809,-101.184433,03/04/2020,19
MORELOS,18.9260998,-99.230751,03/04/2020,1
NAYARIT,21.50951,-104.8956909,03/04/2020,0
NUEVO LEÓN,25.6750698,-100.3184662,03/04/2020,22
OAXACA,17.0654202,-96.7236481,03/04/2020,4
PUEBLA,19.0640602,-98.3035202,03/04/2020,8
QUERETARO,20.5880604,-100.3880615,03/04/2020,2
QUINTANA ROO,21.1742897,-86.8465576,03/04/2020,0
SAN LUIS POTOSÍ,22.1498203,-100.9791565,03/04/2020,1
SINALOA,23.2329006,-106.4061966,03/04/2020,9
SONORA,29.1026001,-110.9773178,03/04/2020,0
TABASCO,17.9868908,-92.9302826,03/04/2020,0
TAMAULIPAS,26.0806103,-98.288353,03/04/2020,1
TLAXCALA,19.31905,-98.19982,03/04/2020,0
VERACRUZ,19.1809502,-96.1428986,03/04/2020,3
YUCATÁN,20.400417,-89.134857,03/04/2020,0
ZACATECAS,22.76843,-102.58141,03/04/2020,0
AGUASCALIENTES,21.8823395,-102.2825928,03/05/2020,0
BAJA CALIFORNIA,32.6278114,-115.4544601,03/05/2020,2
BAJA CALIFORNIA SUR,24.1443691,-110.300499,03/05/2020,1
CAMPECHE,19.8438606,-90.5255432,03/05/2020,0
CIUDAD DE MÉXICO,19.4284706,-99.1276627,03/05/2020,20
CHIAPAS,16.7597294,-93.1130829,03/05/2020,1
CHIHUAHUA,28.6352806,-106.0888901,03/05/2020,0
COAHUILA,25.4232101,-101.0053024,03/05/2020,1
COLIMA,19.2499695,-103.7271423,03/05/2020,1
DURANGO,25.5698509,-103.4958801,03/05/2020,0
GUANAJUATO,21.0185795,-101.2591019,03/05/2020,1
GUERRERO,16.8494205,-99.9089127,03/05/2020,1
HIDALGO,20.1169701,-98.7332916,03/05/2020,34
JALISCO,20.6668205,-103.3918228,03/05/2020,3
MÉXICO,19.2878609,-99.6532364,03/05/2020,5
MICHOACÁN,19.7007809,-101.184433,03/05/2020,19
MORELOS,18.9260998,-99.230751,03/05/2020,1
NAYARIT,21.50951,-104.8956909,03/05/2020,0
NUEVO LEÓN,25.6750698,-100.3184662,03/05/2020,22
OAXACA,17.0654202,-96.7236481,03/05/2020,4
PUEBLA,19.0640602,-98.3035202,03/05/2020,8
QUERETARO,20.5880604,-100.3880615,03/05/2020,2
QUINTANA ROO,21.1742897,-86.8465576,03/05/2020,0
SAN LUIS POTOSÍ,22.1498203,-100.9791565,03/05/2020,1
SINALOA,23.2329006,-106.4061966,03/05/2020,9
SONORA,29.1026001,-110.9773178,03/05/2020,0
TABASCO,17.9868908,-92.9302826,03/05/2020,0
TAMAULIPAS,26.0806103,-98.288353,03/05/2020,1
TLAXCALA,19.31905,-98.19982,03/05/2020,0
VERACRUZ,19.1809502,-96.1428986,03/05/2020,3
YUCATÁN,20.400417,-89.134857,03/05/2020,0
ZACATECAS,22.76843,-102.58141,03/05/2020,0
AGUASCALIENTES,21.8823395,-102.2825928,03/06/2020,0
BAJA CALIFORNIA,32.6278114,-115.4544601,03/06/2020,2
BAJA CALIFORNIA SUR,24.1443691,-110.300499,03/06/2020,1
CAMPECHE,19.8438606,-90.5255432,03/06/2020,0
CIUDAD DE MÉXICO,19.4284706,-99.1276627,03/06/2020,20
CHIAPAS,16.7597294,-93.1130829,03/06/2020,1
CHIHUAHUA,28.6352806,-106.0888901,03/06/2020,0
COAHUILA,25.4232101,-101.0053024,03/06/2020,1
COLIMA,19.2499695,-103.7271423,03/06/2020,1
DURANGO,25.5698509,-103.4958801,03/06/2020,0
GUANAJUATO,21.0185795,-101.2591019,03/06/2020,1
GUERRERO,16.8494205,-99.9089127,03/06/2020,1
HIDALGO,20.1169701,-98.7332916,03/06/2020,34
JALISCO,20.6668205,-103.3918228,03/06/2020,3
MÉXICO,19.2878609,-99.6532364,03/06/2020,5
MICHOACÁN,19.7007809,-101.184433,03/06/2020,19
MORELOS,18.9260998,-99.230751,03/06/2020,1
NAYARIT,21.50951,-104.8956909,03/06/2020,0
NUEVO LEÓN,25.6750698,-100.3184662,03/06/2020,22
OAXACA,17.0654202,-96.7236481,03/06/2020,4
PUEBLA,19.0640602,-98.3035202,03/06/2020,8
QUERETARO,20.5880604,-100.3880615,03/06/2020,2
QUINTANA ROO,21.1742897,-86.8465576,03/06/2020,0
SAN LUIS POTOSÍ,22.1498203,-100.9791565,03/06/2020,1
SINALOA,23.2329006,-106.4061966,03/06/2020,9
SONORA,29.1026001,-110.9773178,03/06/2020,0
TABASCO,17.9868908,-92.9302826,03/06/2020,0
TAMAULIPAS,26.0806103,-98.288353,03/06/2020,1
TLAXCALA,19.31905,-98.19982,03/06/2020,0
VERACRUZ,19.1809502,-96.1428986,03/06/2020,3
YUCATÁN,20.400417,-89.134857,03/06/2020,0
ZACATECAS,22.76843,-102.58141,03/06/2020,0
AGUASCALIENTES,21.8823395,-102.2825928,03/07/2020,0
BAJA CALIFORNIA,32.6278114,-115.4544601,03/07/2020,2
BAJA CALIFORNIA SUR,24.1443691,-110.300499,03/07/2020,1
CAMPECHE,19.8438606,-90.5255432,03/07/2020,0
CIUDAD DE MÉXICO,19.4284706,-99.1276627,03/07/2020,20
CHIAPAS,16.7597294,-93.1130829,03/07/2020,1
CHIHUAHUA,28.6352806,-106.0888901,03/07/2020,0
COAHUILA,25.4232101,-101.0053024,03/07/2020,1
COLIMA,19.2499695,-103.7271423,03/07/2020,1
DURANGO,25.5698509,-103.4958801,03/07/2020,0
GUANAJUATO,21.0185795,-101.2591019,03/07/2020,1
GUERRERO,16.8494205,-99.9089127,03/07/2020,1
HIDALGO,20.1169701,-98.7332916,03/07/2020,34
JALISCO,20.6668205,-103.3918228,03/07/2020,3
MÉXICO,19.2878609,-99.6532364,03/07/2020,5
MICHOACÁN,19.7007809,-101.184433,03/07/2020,19
MORELOS,18.9260998,-99.230751,03/07/2020,1
NAYARIT,21.50951,-104.8956909,03/07/2020,0
NUEVO LEÓN,25.6750698,-100.3184662,03/07/2020,22
OAXACA,17.0654202,-96.7236481,03/07/2020,4
PUEBLA,19.0640602,-98.3035202,03/07/2020,8
QUERETARO,20.5880604,-100.3880615,03/07/2020,2
QUINTANA ROO,21.1742897,-86.8465576,03/07/2020,0
SAN LUIS POTOSÍ,22.1498203,-100.9791565,03/07/2020,1
SINALOA,23.2329006,-106.4061966,03/07/2020,9
SONORA,29.1026001,-110.9773178,03/07/2020,0
TABASCO,17.9868908,-92.9302826,03/07/2020,0
TAMAULIPAS,26.0806103,-98.288353,03/07/2020,1
TLAXCALA,19.31905,-98.19982,03/07/2020,0
VERACRUZ,19.1809502,-96.1428986,03/07/2020,3
YUCATÁN,20.400417,-89.134857,03/07/2020,0
ZACATECAS,22.76843,-102.58141,03/07/2020,0
AGUASCALIENTES,21.8823395,-102.2825928,03/08/2020,0
BAJA CALIFORNIA,32.6278114,-115.4544601,03/08/2020,2
BAJA CALIFORNIA SUR,24.1443691,-110.300499,03/08/2020,1
CAMPECHE,19.8438606,-90.5255432,03/08/2020,0
CIUDAD DE MÉXICO,19.4284706,-99.1276627,03/08/2020,20
CHIAPAS,16.7597294,-93.1130829,03/08/2020,1
CHIHUAHUA,28.6352806,-106.0888901,03/08/2020,0
COAHUILA,25.4232101,-101.0053024,03/08/2020,1
COLIMA,19.2499695,-103.7271423,03/08/2020,1
DURANGO,25.5698509,-103.4958801,03/08/2020,0
GUANAJUATO,21.0185795,-101.2591019,03/08/2020,1
GUERRERO,16.8494205,-99.9089127,03/08/2020,1
HIDALGO,20.1169701,-98.7332916,03/08/2020,34
JALISCO,20.6668205,-103.3918228,03/08/2020,3
MÉXICO,19.2878609,-99.6532364,03/08/2020,5
MICHOACÁN,19.7007809,-101.184433,03/08/2020,19
MORELOS,18.9260998,-99.230751,03/08/2020,1
NAYARIT,21.50951,-104.8956909,03/08/2020,0
NUEVO LEÓN,25.6750698,-100.3184662,03/08/2020,22
OAXACA,17.0654202,-96.7236481,03/08/2020,4
PUEBLA,19.0640602,-98.3035202,03/08/2020,8
QUERETARO,20.5880604,-100.3880615,03/08/2020,2
QUINTANA ROO,21.1742897,-86.8465576,03/08/2020,0
SAN LUIS POTOSÍ,22.1498203,-100.9791565,03/08/2020,1
SINALOA,23.2329006,-106.4061966,03/08/2020,9
SONORA,29.1026001,-110.9773178,03/08/2020,0
TABASCO,17.9868908,-92.9302826,03/08/2020,0
TAMAULIPAS,26.0806103,-98.288353,03/08/2020,1
TLAXCALA,19.31905,-98.19982,03/08/2020,0
VERACRUZ,19.1809502,-96.1428986,03/08/2020,3
YUCATÁN,20.400417,-89.134857,03/08/2020,0
ZACATECAS,22.76843,-102.58141,03/08/2020,0
AGUASCALIENTES,21.8823395,-102.2825928,03/09/2020,0
BAJA CALIFORNIA,32.6278114,-115.4544601,03/09/2020,2
BAJA CALIFORNIA SUR,24.1443691,-110.300499,03/09/2020,1
CAMPECHE,19.8438606,-90.5255432,03/09/2020,0
CIUDAD DE MÉXICO,19.4284706,-99.1276627,03/09/2020,20
CHIAPAS,16.7597294,-93.1130829,03/09/2020,1
CHIHUAHUA,28.6352806,-106.0888901,03/09/2020,0
COAHUILA,25.4232101,-101.0053024,03/09/2020,1
COLIMA,19.2499695,-103.7271423,03/09/2020,1
DURANGO,25.5698509,-103.4958801,03/09/2020,0
GUANAJUATO,21.0185795,-101.2591019,03/09/2020,1
GUERRERO,16.8494205,-99.9089127,03/09/2020,1
HIDALGO,20.1169701,-98.7332916,03/09/2020,34
JALISCO,20.6668205,-103.3918228,03/09/2020,3
MÉXICO,19.2878609,-99.6532364,03/09/2020,5
MICHOACÁN,19.7007809,-101.184433,03/09/2020,19
MORELOS,18.9260998,-99.230751,03/09/2020,1
NAYARIT,21.50951,-104.8956909,03/09/2020,0
NUEVO LEÓN,25.6750698,-100.3184662,03/09/2020,22
OAXACA,17.0654202,-96.7236481,03/09/2020,4
PUEBLA,19.0640602,-98.3035202,03/09/2020,8
QUERETARO,20.5880604,-100.3880615,03/09/2020,2
QUINTANA ROO,21.1742897,-86.8465576,03/09/2020,0
SAN LUIS POTOSÍ,22.1498203,-100.9791565,03/09/2020,1
SINALOA,23.2329006,-106.4061966,03/09/2020,9
SONORA,29.1026001,-110.9773178,03/09/2020,0
TABASCO,17.9868908,-92.9302826,03/09/2020,0
TAMAULIPAS,26.0806103,-98.288353,03/09/2020,1
TLAXCALA,19.31905,-98.19982,03/09/2020,0
VERACRUZ,19.1809502,-96.1428986,03/09/2020,3
YUCATÁN,20.400417,-89.134857,03/09/2020,0
ZACATECAS,22.76843,-102.58141,03/09/2020,0
AGUASCALIENTES,21.8823395,-102.2825928,03/10/2020,0
BAJA CALIFORNIA,32.6278114,-115.4544601,03/10/2020,2
BAJA CALIFORNIA SUR,24.1443691,-110.300499,03/10/2020,1
CAMPECHE,19.8438606,-90.5255432,03/10/2020,0
CIUDAD DE MÉXICO,19.4284706,-99.1276627,03/10/2020,20
CHIAPAS,16.7597294,-93.1130829,03/10/2020,1
CHIHUAHUA,28.6352806,-106.0888901,03/10/2020,0
COAHUILA,25.4232101,-101.0053024,03/10/2020,1
COLIMA,19.2499695,-103.7271423,03/10/2020,1
DURANGO,25.5698509,-103.4958801,03/10/2020,0
GUANAJUATO,21.0185795,-101.2591019,03/10/2020,1
GUERRERO,16.8494205,-99.9089127,03/10/2020,1
HIDALGO,20.1169701,-98.7332916,03/10/2020,34
JALISCO,20.6668205,-103.3918228,03/10/2020,3
MÉXICO,19.2878609,-99.6532364,03/10/2020,5
MICHOACÁN,19.7007809,-101.184433,03/10/2020,19
MORELOS,18.9260998,-99.230751,03/10/2020,1
NAYARIT,21.50951,-104.8956909,03/10/2020,0
NUEVO LEÓN,25.6750698,-100.3184662,03/10/2020,22
OAXACA,17.0654202,-96.7236481,03/10/2020,4
PUEBLA,19.0640602,-98.3035202,03/10/2020,8
QUERETARO,20.5880604,-100.3880615,03/10/2020,2
QUINTANA ROO,21.1742897,-86.8465576,03/10/2020,0
SAN LUIS POTOSÍ,22.1498203,-100.9791565,03/10/2020,1
SINALOA,23.2329006,-106.4061966,03/10/2020,9
SONORA,29.1026001,-110.9773178,03/10/2020,0
TABASCO,17.9868908,-92.9302826,03/10/2020,0
TAMAULIPAS,26.0806103,-98.288353,03/10/2020,1
TLAXCALA,19.31905,-98.19982,03/10/2020,0
VERACRUZ,19.1809502,-96.1428986,03/10/2020,3
YUCATÁN,20.400417,-89.134857,03/10/2020,0
ZACATECAS,22.76843,-102.58141,03/10/2020,0
AGUASCALIENTES,21.8823395,-102.2825928,03/11/2020,0
BAJA CALIFORNIA,32.6278114,-115.4544601,03/11/2020,4
BAJA CALIFORNIA SUR,24.1443691,-110.300499,03/11/2020,1
CAMPECHE,19.8438606,-90.5255432,03/11/2020,0
CIUDAD DE MÉXICO,19.4284706,-99.1276627,03/11/2020,23
CHIAPAS,16.7597294,-93.1130829,03/11/2020,2
CHIHUAHUA,28.6352806,-106.0888901,03/11/2020,0
COAHUILA,25.4232101,-101.0053024,03/11/2020,3
COLIMA,19.2499695,-103.7271423,03/11/2020,4
DURANGO,25.5698509,-103.4958801,03/11/2020,0
GUANAJUATO,21.0185795,-101.2591019,03/11/2020,3
GUERRERO,16.8494205,-99.9089127,03/11/2020,4
HIDALGO,20.1169701,-98.7332916,03/11/2020,44
JALISCO,20.6668205,-103.3918228,03/11/2020,3
MÉXICO,19.2878609,-99.6532364,03/11/2020,6
MICHOACÁN,19.7007809,-101.184433,03/11/2020,22
MORELOS,18.9260998,-99.230751,03/11/2020,2
NAYARIT,21.50951,-104.8956909,03/11/2020,0
NUEVO LEÓN,25.6750698,-100.3184662,03/11/2020,25
OAXACA,17.0654202,-96.7236481,03/11/2020,4
PUEBLA,19.0640602,-98.3035202,03/11/2020,9
QUERETARO,20.5880604,-100.3880615,03/11/2020,2
QUINTANA ROO,21.1742897,-86.8465576,03/11/2020,0
SAN LUIS POTOSÍ,22.1498203,-100.9791565,03/11/2020,1
SINALOA,23.2329006,-106.4061966,03/11/2020,13
SONORA,29.1026001,-110.9773178,03/11/2020,0
TABASCO,17.9868908,-92.9302826,03/11/2020,0
TAMAULIPAS,26.0806103,-98.288353,03/11/2020,1
TLAXCALA,19.31905,-98.19982,03/11/2020,0
VERACRUZ,19.1809502,-96.1428986,03/11/2020,5
YUCATÁN,20.400417,-89.134857,03/11/2020,0
ZACATECAS,22.76843,-102.58141,03/11/2020,1
AGUASCALIENTES,21.8823395,-102.2825928,03/12/2020,0
BAJA CALIFORNIA,32.6278114,-115.4544601,03/12/2020,4
BAJA CALIFORNIA SUR,24.1443691,-110.300499,03/12/2020,1
CAMPECHE,19.8438606,-90.5255432,03/12/2020,0
CIUDAD DE MÉXICO,19.4284706,-99.1276627,03/12/2020,23
CHIAPAS,16.7597294,-93.1130829,03/12/2020,2
CHIHUAHUA,28.6352806,-106.0888901,03/12/2020,0
COAHUILA,25.4232101,-101.0053024,03/12/2020,3
COLIMA,19.2499695,-103.7271423,03/12/2020,4
DURANGO,25.5698509,-103.4958801,03/12/2020,0
GUANAJUATO,21.0185795,-101.2591019,03/12/2020,3
GUERRERO,16.8494205,-99.9089127,03/12/2020,4
HIDALGO,20.1169701,-98.7332916,03/12/2020,44
JALISCO,20.6668205,-103.3918228,03/12/2020,3
MÉXICO,19.2878609,-99.6532364,03/12/2020,6
MICHOACÁN,19.7007809,-101.184433,03/12/2020,22
MORELOS,18.9260998,-99.230751,03/12/2020,2
NAYARIT,21.50951,-104.8956909,03/12/2020,0
NUEVO LEÓN,25.6750698,-100.3184662,03/12/2020,25
OAXACA,17.0654202,-96.7236481,03/12/2020,4
PUEBLA,19.0640602,-98.3035202,03/12/2020,9
QUERETARO,20.5880604,-100.3880615,03/12/2020,2
QUINTANA ROO,21.1742897,-86.8465576,03/12/2020,0
SAN LUIS POTOSÍ,22.1498203,-100.9791565,03/12/2020,1
SINALOA,23.2329006,-106.4061966,03/12/2020,13
SONORA,29.1026001,-110.9773178,03/12/2020,0
TABASCO,17.9868908,-92.9302826,03/12/2020,0
TAMAULIPAS,26.0806103,-98.288353,03/12/2020,1
TLAXCALA,19.31905,-98.19982,03/12/2020,0
VERACRUZ,19.1809502,-96.1428986,03/12/2020,5
YUCATÁN,20.400417,-89.134857,03/12/2020,0
ZACATECAS,22.76843,-102.58141,03/12/2020,1
AGUASCALIENTES,21.8823395,-102.2825928,03/13/2020,0
BAJA CALIFORNIA,32.6278114,-115.4544601,03/13/2020,4
BAJA CALIFORNIA SUR,24.1443691,-110.300499,03/13/2020,1
CAMPECHE,19.8438606,-90.5255432,03/13/2020,0
CIUDAD DE MÉXICO,19.4284706,-99.1276627,03/13/2020,23
CHIAPAS,16.7597294,-93.1130829,03/13/2020,2
CHIHUAHUA,28.6352806,-106.0888901,03/13/2020,0
COAHUILA,25.4232101,-101.0053024,03/13/2020,3
COLIMA,19.2499695,-103.7271423,03/13/2020,4
DURANGO,25.5698509,-103.4958801,03/13/2020,0
GUANAJUATO,21.0185795,-101.2591019,03/13/2020,3
GUERRERO,16.8494205,-99.9089127,03/13/2020,4
HIDALGO,20.1169701,-98.7332916,03/13/2020,44
JALISCO,20.6668205,-103.3918228,03/13/2020,3
MÉXICO,19.2878609,-99.6532364,03/13/2020,6
MICHOACÁN,19.7007809,-101.184433,03/13/2020,22
MORELOS,18.9260998,-99.230751,03/13/2020,2
NAYARIT,21.50951,-104.8956909,03/13/2020,0
NUEVO LEÓN,25.6750698,-100.3184662,03/13/2020,25
OAXACA,17.0654202,-96.7236481,03/13/2020,4
PUEBLA,19.0640602,-98.3035202,03/13/2020,9
QUERETARO,20.5880604,-100.3880615,03/13/2020,2
QUINTANA ROO,21.1742897,-86.8465576,03/13/2020,0
SAN LUIS POTOSÍ,22.1498203,-100.9791565,03/13/2020,1
SINALOA,23.2329006,-106.4061966,03/13/2020,13
SONORA,29.1026001,-110.9773178,03/13/2020,0
TABASCO,17.9868908,-92.9302826,03/13/2020,0
TAMAULIPAS,26.0806103,-98.288353,03/13/2020,1
TLAXCALA,19.31905,-98.19982,03/13/2020,0
VERACRUZ,19.1809502,-96.1428986,03/13/2020,5
YUCATÁN,20.400417,-89.134857,03/13/2020,0
ZACATECAS,22.76843,-102.58141,03/13/2020,1
AGUASCALIENTES,21.8823395,-102.2825928,03/14/2020,0
BAJA CALIFORNIA,32.6278114,-115.4544601,03/14/2020,4
BAJA CALIFORNIA SUR,24.1443691,-110.300499,03/14/2020,1
CAMPECHE,19.8438606,-90.5255432,03/14/2020,0
CIUDAD DE MÉXICO,19.4284706,-99.1276627,03/14/2020,23
CHIAPAS,16.7597294,-93.1130829,03/14/2020,2
CHIHUAHUA,28.6352806,-106.0888901,03/14/2020,0
COAHUILA,25.4232101,-101.0053024,03/14/2020,3
COLIMA,19.2499695,-103.7271423,03/14/2020,4
DURANGO,25.5698509,-103.4958801,03/14/2020,0
GUANAJUATO,21.0185795,-101.2591019,03/14/2020,3
GUERRERO,16.8494205,-99.9089127,03/14/2020,4
HIDALGO,20.1169701,-98.7332916,03/14/2020,44
JALISCO,20.6668205,-103.3918228,03/14/2020,3
MÉXICO,19.2878609,-99.6532364,03/14/2020,6
MICHOACÁN,19.7007809,-101.184433,03/14/2020,22
MORELOS,18.9260998,-99.230751,03/14/2020,2
NAYARIT,21.50951,-104.8956909,03/14/2020,0
NUEVO LEÓN,25.6750698,-100.3184662,03/14/2020,25
OAXACA,17.0654202,-96.7236481,03/14/2020,4
PUEBLA,19.0640602,-98.3035202,03/14/2020,9
QUERETARO,20.5880604,-100.3880615,03/14/2020,2
QUINTANA ROO,21.1742897,-86.8465576,03/14/2020,0
SAN LUIS POTOSÍ,22.1498203,-100.9791565,03/14/2020,1
SINALOA,23.2329006,-106.4061966,03/14/2020,13
SONORA,29.1026001,-110.9773178,03/14/2020,0
TABASCO,17.9868908,-92.9302826,03/14/2020,0
TAMAULIPAS,26.0806103,-98.288353,03/14/2020,1
TLAXCALA,19.31905,-98.19982,03/14/2020,0
VERACRUZ,19.1809502,-96.1428986,03/14/2020,5
YUCATÁN,20.400417,-89.134857,03/14/2020,0
ZACATECAS,22.76843,-102.58141,03/14/2020,1
AGUASCALIENTES,21.8823395,-102.2825928,03/15/2020,0
BAJA CALIFORNIA,32.6278114,-115.4544601,03/15/2020,4
BAJA CALIFORNIA SUR,24.1443691,-110.300499,03/15/2020,1
CAMPECHE,19.8438606,-90.5255432,03/15/2020,0
CIUDAD DE MÉXICO,19.4284706,-99.1276627,03/15/2020,23
CHIAPAS,16.7597294,-93.1130829,03/15/2020,2
CHIHUAHUA,28.6352806,-106.0888901,03/15/2020,0
COAHUILA,25.4232101,-101.0053024,03/15/2020,3
COLIMA,19.2499695,-103.7271423,03/15/2020,4
DURANGO,25.5698509,-103.4958801,03/15/2020,0
GUANAJUATO,21.0185795,-101.2591019,03/15/2020,3
GUERRERO,16.8494205,-99.9089127,03/15/2020,4
HIDALGO,20.1169701,-98.7332916,03/15/2020,44
